Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
12 3 2016,10:00 pm,MIA,92,POR,99,Box Score,,19393,
12 3 2016,7:30 pm,ATL,84,TOR,128,Box Score,,19800,
12 3 2016,9:00 pm,DEN,98,UTA,105,Box Score,,19911,
12 4 2016,6:00 pm,ORL,98,DET,92,Box Score,,15206,
12 4 2016,9:30 pm,IND,111,LAC,102,Box Score,,19060,
12 4 2016,7:30 pm,SAC,98,NYK,106,Box Score,,19812,
12 4 2016,7:00 pm,NOP,92,OKC,101,Box Score,,18203,
12 5 2016,7:30 pm,OKC,102,ATL,99,Box Score,,14654,
12 5 2016,7:30 pm,WAS,118,BKN,113,Box Score,,12529,
12 5 2016,8:00 pm,POR,112,CHI,110,Box Score,,21351,
12 5 2016,8:30 pm,CHA,109,DAL,101,Box Score,,19228,
12 5 2016,10:30 pm,IND,106,GSW,142,Box Score,,19596,
12 5 2016,8:00 pm,BOS,106,HOU,107,Box Score,,15730,
12 5 2016,10:30 pm,UTA,107,LAL,101,Box Score,,18279,
12 5 2016,8:00 pm,SAS,97,MIL,96,Box Score,,14256,
12 5 2016,8:00 pm,MEM,110,NOP,108,Box Score,2OT,13795,
12 5 2016,7:00 pm,DEN,106,PHI,98,Box Score,,11815,
12 5 2016,7:30 pm,CLE,116,TOR,112,Box Score,,19800,
12 6 2016,7:30 pm,CHI,91,DET,102,Box Score,,14305,
12 6 2016,8:00 pm,PHI,91,MEM,96,Box Score,,13521,
12 6 2016,7:30 pm,NYK,114,MIA,103,Box Score,,19610,
12 6 2016,8:00 pm,SAS,105,MIN,91,Box Score,,12585,
12 6 2016,9:00 pm,PHX,105,UTA,112,Box Score,,18997,
12 6 2016,7:00 pm,ORL,124,WAS,116,Box Score,,12116,
12 7 2016,7:30 pm,MIA,95,ATL,103,Box Score,,11326,
12 7 2016,7:30 pm,DEN,111,BKN,116,Box Score,,14159,
12 7 2016,7:00 pm,DET,77,CHA,87,Box Score,,15141,
12 7 2016,8:30 pm,SAC,120,DAL,89,Box Score,,19711,
12 7 2016,8:00 pm,LAL,95,HOU,134,Box Score,,16141,
12 7 2016,10:30 pm,GSW,115,LAC,98,Box Score,,19239,
12 7 2016,8:00 pm,POR,107,MIL,115,Box Score,,14033,
12 7 2016,8:00 pm,CLE,126,NYK,94,Box Score,,19812,
12 7 2016,7:00 pm,BOS,117,ORL,87,Box Score,,17009,
12 7 2016,9:00 pm,IND,109,PHX,94,Box Score,,17452,
12 8 2016,9:30 pm,SAS,91,CHI,95,Box Score,,21489,
12 8 2016,8:00 pm,POR,86,MEM,88,Box Score,,14317,
12 8 2016,8:00 pm,PHI,99,NOP,88,Box Score,,14158,
12 8 2016,7:00 pm,MIN,110,TOR,124,Box Score,,19800,
12 8 2016,9:00 pm,GSW,106,UTA,99,Box Score,,19911,
12 8 2016,7:00 pm,DEN,85,WAS,92,Box Score,,12645,
12 9 2016,7:30 pm,TOR,101,BOS,94,Box Score,,18624,
12 9 2016,7:00 pm,ORL,88,CHA,109,Box Score,,15707,
12 9 2016,7:30 pm,MIA,84,CLE,114,Box Score,,20562,
12 9 2016,8:30 pm,IND,103,DAL,111,Box Score,,19486,
12 9 2016,10:30 pm,PHX,119,LAL,115,Box Score,,18997,
12 9 2016,8:00 pm,ATL,114,MIL,110,Box Score,,16289,
12 9 2016,8:00 pm,DET,117,MIN,90,Box Score,,14109,
12 9 2016,8:00 pm,HOU,102,OKC,99,Box Score,,18203,
12 9 2016,10:30 pm,NYK,103,SAC,100,Box Score,,17608,
12 10 2016,8:00 pm,MIA,100,CHI,105,Box Score,,21450,
12 10 2016,7:30 pm,CHA,105,CLE,116,Box Score,,20562,
12 10 2016,8:00 pm,DAL,87,HOU,109,Box Score,,15761,
12 10 2016,7:00 pm,POR,111,IND,118,Box Score,,16211,
12 10 2016,10:30 pm,NOP,105,LAC,133,Box Score,,19060,
12 10 2016,8:00 pm,GSW,89,MEM,110,Box Score,,18119,
12 10 2016,7:00 pm,DEN,121,ORL,113,Box Score,,17010,
12 10 2016,8:30 pm,BKN,101,SAS,130,Box Score,,18418,
12 10 2016,9:00 pm,SAC,84,UTA,104,Box Score,,19331,
